District,ac_no,ac_name,Winner Candidate 2014,Winner Party 2014,Winner Votes,Runner Up Candidate 2014,Runner Up Party 2014,Runner Up Votes 2014,Margin 2014,Turnout(%) 2019,Winner Candidate 2019,Winner Party 2019,Winner Votes 2019,Runner Up Candidate 2019,Runner Up Party 2019,Runner Up Votes 2019,Margin 2019,Status
West Godavari,177,Narasapuram,Bandaru Madhava Naidu,Telugu Desam Party,72747,Kothapalli Subbarayudu,YSR Congress Party,21712,51035,82.09,Mudunuri Prasada Raju,YSR Congress Party,55556,Bommidi Nayaker,Jana Sena Party,49120,6436,Telugu Desam Party -->  YSR Congress Party
West Godavari,178,Bhimavaram,Pulaparthy Ramanjaneyulu,Telugu Desam Party,90772,Grandhi Srinivas,YSR Congress Party,77046,13726,78.05,Grandhi Srinivas,YSR Congress Party,70642,Pawan Kalyan,Jana Sena Party,62285,8357,Telugu Desam Party -->  YSR Congress Party
West Godavari,179,Undi,Vetukuri Venkata Siva Rama Raju,Telugu Desam Party,101530,Pathapati Sarraju,YSR Congress Party,65299,36231,84.73,Mantena Ramaraju,Telugu Desam Party,82730,P.V.L. Narasimha Raju,YSR Congress Party,71781,10949,Telugu Desam Party Hold
West Godavari,180,Tanuku,Arimilli Radha Krishna,Telugu Desam Party,101015,Cheerla Radha Krishna,YSR Congress Party,70067,30948,80,Karumuri Venkata Nageswara Rao,YSR Congress Party,75975,Arimilli Radha Krishna,Telugu Desam Party,73780,2195,Telugu Desam Party -->  YSR Congress Party
West Godavari,181,Tadepalligudem,Pydikondala Manikyala Rao,Bharatiya Janata Party,73339,Thota Poorna Gopala Satyanarayana,YSR Congress Party,59266,14073,80.43,Kottu Satyanarayana,YSR Congress Party,70741,Eli Venkata Madhusudhanarao,Telugu Desam Party,54275,16466,Bharatiya Janata Party -->  YSR Congress Party
West Godavari,182,Ungutur,Ganni Veeranjaneyulu,Telugu Desam Party,82118,Puppala Srinivasarao,YSR Congress Party,73188,8930,86.86,Puppala Srinivasarao,YSR Congress Party,94621,Ganni Veeranjaneyulu,Telugu Desam Party,61468,33153,Telugu Desam Party -->  YSR Congress Party
West Godavari,183,Denduluru,Chintamaneni Prabhakar,Telugu Desam Party,92209,Karumuri Venkata Nageswara Rao,YSR Congress Party,74463,17746,84.7,Abbaya Chowdary Kothari,YSR Congress Party,96142,Chintamaneni Prabhakar,Telugu Desam Party,78683,17459,Telugu Desam Party -->  YSR Congress Party
West Godavari,184,Eluru,Badeti Kota Rama Rao,Telugu Desam Party,82483,Alla Kali Krishna Srinivas,YSR Congress Party,57880,24603,67.59,Alla Kali Krishna Srinivas,YSR Congress Party,72247,Badeti Kota Rama Rao,Telugu Desam Party,68175,4072,Telugu Desam Party -->  YSR Congress Party
West Godavari,185,Gopalapuram (SC),Muppidi Venkateswara Rao,Telugu Desam Party,95299,Talari Venkatrao,YSR Congress Party,83759,11540,86.71,Talari Venkatrao,YSR Congress Party,111785,Muppidi Venkateswara Rao,Telugu Desam Party,74324,37461,Telugu Desam Party -->  YSR Congress Party
West Godavari,186,Polavaram (ST),Modiyam Srinivasa Rao,Telugu Desam Party,83767,Tellam Balaraju,YSR Congress Party,68047,15720,86.55,Tellam Balaraju,YSR Congress Party,110523,Boragam Srinivasulu,Telugu Desam Party,68453,42070,Telugu Desam Party -->  YSR Congress Party
West Godavari,187,Chintalapudi (SC),Peethala Sujatha,Telugu Desam Party,105417,Burla Devi Priya,YSR Congress Party,90253,15164,81.83,Vunnamatla Eliza,YSR Congress Party,115755,Karra Raja Rao,Telugu Desam Party,79580,36175,Telugu Desam Party -->  YSR Congress Party
Krishna,188,Tiruvuru (SC),Kokkiligadda Rakshana Nidhi,YSR Congress Party,78144,Nallagatla Swamy Das,Telugu Desam Party,76468,1676,86.77,Kokkiligadda Rakshana Nidhi,YSR Congress Party,89118,Kothapalli Samuel Jawahar,Telugu Desam Party,78283,10835,YSR Congress Party Hold
Krishna,189,Nuzvid,Meka Venkata Pratap Apparao,YSR Congress Party,95565,Muddaraboina Venkateswara Rao,Telugu Desam Party,85168,10397,86.83,Meka Venkata Pratap Apparao,YSR Congress Party,101950,Muddaraboina Venkateswara Rao,Telugu Desam Party,85740,16210,YSR Congress Party Hold
